Subject,Status,Before,During,After,Classification,Social Notes,Proximity,Simultaneous,ArousalBD,Arousal DA,ArousalBA,ArousalBDA,Value
Ibai,Stallion,Sexual,Resting2,Resting3,Masturbation,More than 2 horse lengths,0,0,D,N,D,down,1
Pintxo,Stallion,Ingestive,Ingestive2,Ingestive3,Masturbation,,0,0,N,N,N,nc,1
Basoa,Soltero,Ingestive,Ingestive2,Ingestive3,Erection,Solteros,0,1a,N,N,N,nc,1
Beltz,Soltero,Ingestive,Ingestive2,Ingestive3,Erection,Solteros,0,1a,N,N,N,nc,1
Oihan,Soltero,Ingestive,Ingestive2,Ingestive3,Erection,Solteros,0,1a,N,N,N,nc,1
Basoa,Soltero,Ingestive,Ingestive2,Ingestive3,Masturbation,Solteros,0,0,N,N,N,nc,1
Erbi,Soltero,Other,Standing Quietly2,Resting3,Masturbation,Touching horse of same sex,1,0,D,D,D,down,1
Beltz,Soltero,Ingestive,Ingestive2,Ingestive3,Masturbation,Solteros,0,0,N,N,N,nc,1
Erbi,Soltero,Resting,Resting2,Resting3,Masturbation,Touching horse of same sex,1,0,N,N,N,nc,1
Basoa,Soltero,Resting,Resting2,Resting3,Masturbation,Touching horse of same sex,1,0,N,N,N,nc,1
Basoa,Soltero,Resting,Resting2,Resting3,Masturbation,Touching horse of same sex,1,0,N,N,N,nc,1
Oihan,Soltero,Resting,Ingestive2,Resting3,Masturbation,Solteros,0,1b,I,D,N,mix,1
Basoa,Soltero,Resting,Resting2,Resting3,Masturbation,Near stallion with Erection,1,1b,N,N,N,nc,1
Basoa,Soltero,Resting,Resting2,Ingestive3,Masturbation,Solteros,0,0,N,I,I,up,1
Erbi,Soltero,Resting,Resting2,Standing Quietly3,Masturbation,Touching horse of same sex,1,0,N,I,I,up,1
Erbi,Soltero,Other,Ingestive2,Ingestive3,Erection,More than 2 horse lengths,0,0,D,N,D,down,1
Beltz,Soltero,Ingestive,Ingestive2,Ingestive3,Masturbation,Next to Basoa,1,0,N,N,N,nc,1
Oihan,Soltero,Ingestive,Ingestive2,Walking3,Erection,Solteros,0,0,N,I,I,up,1
Beltz,Soltero,Ingestive,Ingestive2,Ingestive3,Masturbation,Solteros,0,0,N,N,N,nc,1
Erbi,Soltero,Ingestive,Ingestive2,Ingestive3,Erection,Solteros,0,0,N,N,N,nc,1
Beltz,Soltero,Resting,Standing Quietly2,Ingestive3,Masturbation,Solteros,0,0,I,I,I,up,1
Indartxu,Stallion,Ingestive,Ingestive2,Ingestive3,Erection,Grazing near mares,1,0,N,N,N,nc,1
Pintxo,Stallion,Resting,Resting2,Resting3,Erection,Facing group,0,0,N,N,N,nc,1
Indartxu,Yearling,Resting,Standing Quietly2,Walking3,Masturbation,,0,0,I,I,I,up,1
Basoa,Soltero,Resting,Resting2,Ingestive3,Erection,Solteros,0,0,N,I,I,up,1
Beltz,Soltero,Ingestive,Walking2,Ingestive3,Erection,Solteros,0,0,I,D,N,mix,1
Beltz,Soltero,Ingestive,Ingestive2,Ingestive3,Erection,Solteros,0,0,N,N,N,nc,1
Basoa,Soltero,Standing Quietly,Playing2,Playing3,Erection,Group play,1,1c,I,N,I,up,1
Erbi,Soltero,Standing Quietly,Standing Quietly2,Playing3,Erection,Group play,1,1c,N,I,I,up,1
Oihan,Soltero,Standing Quietly,Playing2,Playing3,Erection,Group play,0,1c,I,N,I,up,1
Beltz,Soltero,Playing,Playing2,Playing3,Erection,Group play,1,1c,N,N,N,nc,1
Basoa,Soltero,Playing,Playing2,Playing3,Erection,Group play,1,1d,N,N,N,nc,1
Erbi,Soltero,Playing,Playing2,Playing3,Erection,Group play,1,1d,N,N,N,nc,1
Erbi,Soltero,Standing Quietly,Walking2,Ingestive3,Erection,Solteros,0,0,I,D,I,mix,1
Beltz,Soltero,Ingestive,Ingestive2,Ingestive3,Masturbation,Solteros,0,0,N,N,N,nc,1
Basoa,Soltero,Standing Quietly,Standing Quietly2,Walking3,Masturbation,Solteros,0,0,N,I,I,up,1
Basoa,Soltero,Ingestive,Ingestive2,Ingestive3,Erection,Solteros,0,0,N,N,N,nc,1
Gabiri,Stallion,Standing Quietly,Standing Quietly2,Standing Quietly3,Masturbation,standing near mehndi and her yearlinh,1,0,N,N,N,nc,1
Gabiri,Stallion,Standing Quietly,Standing Quietly2,Standing Quietly3,Masturbation,standing near mehndi and her yearlinh,1,0,N,N,N,nc,1
Gabiri,Stallion,Standing Quietly,Standing Quietly2,Standing Quietly3,Masturbation,standing near mehndi and her yearlinh,1,0,N,N,N,nc,1
Gabiri,Stallion,Sexual,Sexual2,Walking3,Erection,"smelled grass, flehmen, walked after filly to court, rejected then he retracted",1,0,N,D,D,down,1
Oihan,Soltero,Ingestive,Ingestive2,Ingestive3,Masturbation,,0,0,N,N,N,nc,1
Beltz,Soltero,Ingestive,Ingestive2,Ingestive3,Erection,retracted while pooping on poop,0,0,N,N,N,nc,1
Beltz,Soltero,Ingestive,Ingestive2,Ingestive3,Masturbation,,0,0,N,N,N,nc,1
Basoa,Soltero,Ingestive,Ingestive2,Ingestive3,Masturbation,,0,0,N,N,N,nc,1
Ibai,Stallion,Ingestive,Ingestive2,Ingestive3,Masturbation,,0,0,N,N,N,nc,1
Ibai,Stallion,Standing Quietly,Standing Quietly2,Standing Quietly3,Erection,,0,0,N,N,N,nc,1
Ibai,Stallion,Resting,Resting2,Resting3,Masturbation,mares nearby,1,0,N,N,N,nc,1
Ibai,Stallion,Resting,Resting2,Resting3,Masturbation,mares nearby,1,0,N,N,N,nc,1
